               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099877,            0.035807,            0.040813,           0.0020459,             0.24405,           0.0091411,           0.0027258,            0.081187,            0.023342,            0.035608,              0.0991,              0.0001,              0.0001
                   1,             0.10318,            0.036491,            0.043354,           0.0020457,             0.24405,           0.0071757,           0.0019805,            0.080928,            0.023079,            0.035535,            0.097297,          0.00029703,          0.00029703
                   2,            0.099839,            0.032145,            0.042301,           0.0018313,             0.22321,           0.0084812,           0.0027304,            0.080413,            0.022751,            0.035449,             0.09549,           0.0004901,           0.0004901
                   3,             0.11398,            0.038557,            0.046936,           0.0019208,             0.26488,           0.0095814,           0.0028142,            0.079543,            0.022282,            0.034949,            0.093679,          0.00067921,          0.00067921
                   4,             0.12118,            0.032764,            0.050415,            0.001986,             0.30655,           0.0093362,           0.0026871,            0.078329,            0.021778,            0.034155,            0.091864,          0.00086436,          0.00086436
                   5,             0.12396,            0.030164,            0.047297,           0.0019469,             0.30655,            0.010546,           0.0029276,            0.076981,             0.02129,            0.033521,            0.090046,           0.0010455,           0.0010455
                   6,             0.11064,            0.044132,            0.041177,           0.0022703,             0.41071,             0.01145,           0.0026569,            0.075423,            0.020926,            0.032703,            0.088223,           0.0012228,           0.0012228
                   7,             0.10134,            0.039618,            0.040756,           0.0029374,             0.49405,            0.024351,           0.0042038,              0.0722,            0.020493,            0.031152,            0.086396,            0.001396,            0.001396
                   8,            0.084823,            0.027184,            0.034488,           0.0036705,             0.59226,             0.03177,           0.0050208,             0.06988,            0.020374,            0.030017,            0.084565,           0.0015654,           0.0015654
                   9,            0.083413,             0.02961,            0.036166,           0.0036395,             0.59226,            0.054063,           0.0080064,            0.065863,             0.02034,            0.028088,            0.082731,           0.0017307,           0.0017307
                  10,            0.069661,            0.032497,            0.028615,           0.0034678,             0.59226,            0.058193,           0.0093565,            0.062342,            0.020109,             0.02666,            0.080892,           0.0018921,           0.0018921
                  11,            0.074968,            0.038073,            0.033591,           0.0042347,             0.71726,            0.073674,            0.017221,            0.058559,            0.020126,             0.02464,             0.07905,           0.0020495,           0.0020495
                  12,            0.078684,            0.036187,            0.032643,           0.0067884,             0.92262,             0.18308,            0.044783,            0.052684,            0.020301,            0.022736,            0.077203,            0.002203,            0.002203
                  13,             0.07066,            0.031545,            0.028839,           0.0066789,             0.97917,             0.21806,            0.059077,            0.048081,            0.020108,            0.021265,            0.075353,           0.0023525,           0.0023525
                  14,             0.07263,            0.040443,            0.028916,            0.076183,              0.3244,             0.14787,            0.048097,             0.04646,            0.019481,            0.020166,            0.073498,           0.0024981,           0.0024981
                  15,            0.070446,            0.043285,            0.027233,             0.41262,             0.19643,             0.20013,            0.064375,            0.042946,            0.019753,            0.018921,             0.07164,           0.0026396,           0.0026396
                  16,            0.074469,            0.036807,            0.037037,             0.68323,             0.27381,               0.293,            0.079653,            0.041577,            0.019602,            0.018079,            0.069777,           0.0027773,           0.0027773
                  17,            0.062681,            0.047317,            0.026441,             0.73198,             0.29093,             0.44518,             0.12907,            0.040615,            0.019048,            0.017413,            0.067911,           0.0029109,           0.0029109
                  18,            0.080526,            0.027767,            0.035894,             0.69832,             0.27976,             0.34712,             0.12062,            0.040134,            0.018553,            0.016833,            0.066041,           0.0030407,           0.0030407
                  19,            0.064514,            0.035599,            0.027804,             0.73259,             0.29712,             0.38237,             0.12958,            0.039427,            0.018286,            0.016019,            0.064166,           0.0031664,           0.0031664
                  20,            0.053693,            0.036063,            0.023545,              0.6884,              0.3244,              0.2747,             0.10033,            0.042557,            0.017594,            0.015427,            0.062288,           0.0032882,           0.0032882
